id,tested_positive
0,8.672683
1,9.403074
2,5.1925893
3,9.337387
4,16.762138
5,14.171075
6,10.345875
7,14.208445
8,13.141045
9,10.93679
10,6.769872
11,9.611296
12,9.330886
13,16.987835
14,11.911266
15,6.546391
16,9.601044
17,5.6618714
18,8.315469
19,9.923866
20,19.49176
21,6.1369567
22,9.658496
23,10.413582
24,13.457433
25,18.459295
26,22.203558
27,8.911367
28,7.049302
29,15.41226
30,14.058933
31,3.8875577
32,11.684519
33,9.3029995
34,8.83618
35,6.5367866
36,13.460444
37,16.719378
38,9.613658
39,13.797636
40,14.696402
41,25.158876
42,5.6190553
43,10.979009
44,23.680208
45,22.252775
46,17.398228
47,5.6620855
48,11.132247
49,6.0171638
50,4.5612674
51,8.224987
52,14.230021
53,16.46444
54,16.912077
55,19.267326
56,17.147652
57,10.5744915
58,25.367186
59,8.342138
60,18.09416
61,19.339275
62,11.913759
63,17.129173
64,20.527954
65,12.85126
66,10.265981
67,6.3710494
68,6.839701
69,15.884375
70,22.081816
71,18.567316
72,6.106823
73,11.451028
74,17.886118
75,14.377637
76,16.601328
77,12.764787
78,10.135839
79,16.291254
80,23.158697
81,6.1697855
82,22.966396
83,17.178139
84,23.251305
85,9.373963
86,9.745454
87,15.374145
88,26.792849
89,5.474489
90,15.47365
91,14.728261
92,19.118223
93,21.179731
94,20.927704
95,10.719117
96,31.59191
97,8.26252
98,20.165916
99,18.630514
100,18.361921
101,17.592628
102,8.932117
103,16.580793
104,18.98098
105,12.680506
106,18.183018
107,18.641933
108,7.2416587
109,20.646976
110,22.657116
111,18.598337
112,23.107258
113,21.747595
114,11.4095545
115,6.984387
116,19.436441
117,10.864168
118,22.694246
119,17.333645
120,21.713558
121,7.170412
122,11.883745
123,11.732876
124,19.333326
125,9.131073
126,12.050712
127,15.229823
128,15.369779
129,9.49424
130,16.095442
131,6.427455
132,9.128688
133,6.2061696
134,12.682567
135,18.51177
136,17.953531
137,21.382572
138,5.8760533
139,12.783633
140,11.4894905
141,9.35714
142,11.214052
143,8.978108
144,23.449694
145,9.112935
146,11.791139
147,16.345121
148,24.04193
149,15.9436455
150,11.63267
151,17.159914
152,10.359915
153,9.462279
154,21.296703
155,13.834255
156,13.465059
157,26.209509
158,21.85761
159,17.323008
160,12.75444
161,16.702059
162,9.929804
163,19.550922
164,9.551557
165,22.100838
166,11.454815
167,15.721018
168,10.8068285
169,6.151163
