[ Train | 001/200 ] loss = 2.28029, acc = 0.29829 || [ Valid | 001/200 ] loss = 2.01541, acc = 0.33504 -> best
[ Train | 002/200 ] loss = 1.74529, acc = 0.39325 || [ Valid | 002/200 ] loss = 1.74484, acc = 0.41155 -> best
[ Train | 003/200 ] loss = 1.60837, acc = 0.44060 || [ Valid | 003/200 ] loss = 1.66177, acc = 0.45040 -> best
[ Train | 004/200 ] loss = 1.48345, acc = 0.49056 || [ Valid | 004/200 ] loss = 1.50181, acc = 0.49380 -> best
[ Train | 005/200 ] loss = 1.38385, acc = 0.52655 || [ Valid | 005/200 ] loss = 1.37750, acc = 0.53107 -> best
[ Train | 006/200 ] loss = 1.29895, acc = 0.55470 || [ Valid | 006/200 ] loss = 1.68175, acc = 0.50126
[ Train | 007/200 ] loss = 1.23969, acc = 0.57506 || [ Valid | 007/200 ] loss = 1.47335, acc = 0.52767
[ Train | 008/200 ] loss = 1.17579, acc = 0.60042 || [ Valid | 008/200 ] loss = 1.30120, acc = 0.56695 -> best
[ Train | 009/200 ] loss = 1.11929, acc = 0.60946 || [ Valid | 009/200 ] loss = 1.32810, acc = 0.56118
[ Train | 010/200 ] loss = 1.05458, acc = 0.63550 || [ Valid | 010/200 ] loss = 1.25758, acc = 0.60041 -> best
[ Train | 011/200 ] loss = 1.01930, acc = 0.64978 || [ Valid | 011/200 ] loss = 1.36161, acc = 0.56492
[ Train | 012/200 ] loss = 0.99121, acc = 0.65790 || [ Valid | 012/200 ] loss = 1.13577, acc = 0.62465 -> best
[ Train | 013/200 ] loss = 0.94667, acc = 0.67077 || [ Valid | 013/200 ] loss = 1.11187, acc = 0.62628 -> best
[ Train | 014/200 ] loss = 0.90551, acc = 0.68397 || [ Valid | 014/200 ] loss = 1.10414, acc = 0.64827 -> best
[ Train | 015/200 ] loss = 0.87329, acc = 0.70010 || [ Valid | 015/200 ] loss = 1.39624, acc = 0.58161
[ Train | 016/200 ] loss = 0.87396, acc = 0.70028 || [ Valid | 016/200 ] loss = 0.95374, acc = 0.68436 -> best
[ Train | 017/200 ] loss = 0.81229, acc = 0.72046 || [ Valid | 017/200 ] loss = 1.03755, acc = 0.66093
[ Train | 018/200 ] loss = 0.81195, acc = 0.72512 || [ Valid | 018/200 ] loss = 1.35799, acc = 0.58702
[ Train | 019/200 ] loss = 0.77888, acc = 0.73385 || [ Valid | 019/200 ] loss = 1.24791, acc = 0.61295
[ Train | 020/200 ] loss = 0.76238, acc = 0.73849 || [ Valid | 020/200 ] loss = 1.33059, acc = 0.58941
[ Train | 021/200 ] loss = 0.73105, acc = 0.74665 || [ Valid | 021/200 ] loss = 0.98864, acc = 0.68051
[ Train | 022/200 ] loss = 0.70727, acc = 0.75351 || [ Valid | 022/200 ] loss = 0.95668, acc = 0.69283 -> best
[ Train | 023/200 ] loss = 0.69970, acc = 0.76163 || [ Valid | 023/200 ] loss = 1.03223, acc = 0.68550
[ Train | 024/200 ] loss = 0.67232, acc = 0.76478 || [ Valid | 024/200 ] loss = 1.02651, acc = 0.68503
[ Train | 025/200 ] loss = 0.67340, acc = 0.77216 || [ Valid | 025/200 ] loss = 0.95740, acc = 0.71668 -> best
[ Train | 026/200 ] loss = 0.61618, acc = 0.78476 || [ Valid | 026/200 ] loss = 0.94928, acc = 0.70693
[ Train | 027/200 ] loss = 0.61778, acc = 0.78631 || [ Valid | 027/200 ] loss = 0.83935, acc = 0.73212 -> best
[ Train | 028/200 ] loss = 0.57993, acc = 0.79784 || [ Valid | 028/200 ] loss = 0.97346, acc = 0.70451
[ Train | 029/200 ] loss = 0.58193, acc = 0.79685 || [ Valid | 029/200 ] loss = 0.99268, acc = 0.69987
[ Train | 030/200 ] loss = 0.55156, acc = 0.81032 || [ Valid | 030/200 ] loss = 0.87057, acc = 0.73916 -> best
[ Train | 031/200 ] loss = 0.55791, acc = 0.80990 || [ Valid | 031/200 ] loss = 0.98940, acc = 0.70838
[ Train | 032/200 ] loss = 0.53534, acc = 0.81339 || [ Valid | 032/200 ] loss = 0.93653, acc = 0.71956
[ Train | 033/200 ] loss = 0.50648, acc = 0.82137 || [ Valid | 033/200 ] loss = 1.17518, acc = 0.66525
[ Train | 034/200 ] loss = 0.49237, acc = 0.83048 || [ Valid | 034/200 ] loss = 0.83672, acc = 0.74232 -> best
[ Train | 035/200 ] loss = 0.50336, acc = 0.82409 || [ Valid | 035/200 ] loss = 1.02480, acc = 0.69237
[ Train | 036/200 ] loss = 0.49523, acc = 0.82897 || [ Valid | 036/200 ] loss = 1.09326, acc = 0.70983
[ Train | 037/200 ] loss = 0.45440, acc = 0.84220 || [ Valid | 037/200 ] loss = 0.85337, acc = 0.75653 -> best
[ Train | 038/200 ] loss = 0.46368, acc = 0.83867 || [ Valid | 038/200 ] loss = 1.14303, acc = 0.68398
[ Train | 039/200 ] loss = 0.44274, acc = 0.84692 || [ Valid | 039/200 ] loss = 0.97794, acc = 0.73310
[ Train | 040/200 ] loss = 0.42537, acc = 0.85183 || [ Valid | 040/200 ] loss = 1.01541, acc = 0.72265
[ Train | 041/200 ] loss = 0.41847, acc = 0.85528 || [ Valid | 041/200 ] loss = 0.93055, acc = 0.73393
[ Train | 042/200 ] loss = 0.40980, acc = 0.86067 || [ Valid | 042/200 ] loss = 0.99902, acc = 0.72719
[ Train | 043/200 ] loss = 0.39840, acc = 0.85623 || [ Valid | 043/200 ] loss = 0.89497, acc = 0.74878
[ Train | 044/200 ] loss = 0.38628, acc = 0.86514 || [ Valid | 044/200 ] loss = 0.91003, acc = 0.73480
[ Train | 045/200 ] loss = 0.36605, acc = 0.87369 || [ Valid | 045/200 ] loss = 0.98047, acc = 0.73384
[ Train | 046/200 ] loss = 0.37450, acc = 0.86847 || [ Valid | 046/200 ] loss = 0.90425, acc = 0.74504
[ Train | 047/200 ] loss = 0.36795, acc = 0.87310 || [ Valid | 047/200 ] loss = 0.94782, acc = 0.73800
[ Train | 048/200 ] loss = 0.33854, acc = 0.88423 || [ Valid | 048/200 ] loss = 1.02365, acc = 0.74357
[ Train | 049/200 ] loss = 0.32225, acc = 0.88901 || [ Valid | 049/200 ] loss = 0.94242, acc = 0.75728 -> best
[ Train | 050/200 ] loss = 0.32023, acc = 0.88933 || [ Valid | 050/200 ] loss = 0.89018, acc = 0.75650
[ Train | 051/200 ] loss = 0.32682, acc = 0.88522 || [ Valid | 051/200 ] loss = 0.88975, acc = 0.76751 -> best
[ Train | 052/200 ] loss = 0.32599, acc = 0.88647 || [ Valid | 052/200 ] loss = 0.97217, acc = 0.74041
[ Train | 053/200 ] loss = 0.30207, acc = 0.89310 || [ Valid | 053/200 ] loss = 0.95020, acc = 0.75516
[ Train | 054/200 ] loss = 0.31626, acc = 0.88847 || [ Valid | 054/200 ] loss = 0.89778, acc = 0.76721
[ Train | 055/200 ] loss = 0.29154, acc = 0.90046 || [ Valid | 055/200 ] loss = 0.89113, acc = 0.76905 -> best
[ Train | 056/200 ] loss = 0.29997, acc = 0.89706 || [ Valid | 056/200 ] loss = 0.90548, acc = 0.75659
[ Train | 057/200 ] loss = 0.26240, acc = 0.90812 || [ Valid | 057/200 ] loss = 0.88516, acc = 0.76809
[ Train | 058/200 ] loss = 0.26616, acc = 0.90758 || [ Valid | 058/200 ] loss = 1.07670, acc = 0.72621
[ Train | 059/200 ] loss = 0.27661, acc = 0.90403 || [ Valid | 059/200 ] loss = 1.07968, acc = 0.74138
[ Train | 060/200 ] loss = 0.28552, acc = 0.90210 || [ Valid | 060/200 ] loss = 0.96190, acc = 0.75786
[ Train | 061/200 ] loss = 0.26111, acc = 0.90843 || [ Valid | 061/200 ] loss = 0.90845, acc = 0.76867
[ Train | 062/200 ] loss = 0.26070, acc = 0.90940 || [ Valid | 062/200 ] loss = 0.93098, acc = 0.75979
[ Train | 063/200 ] loss = 0.25370, acc = 0.91274 || [ Valid | 063/200 ] loss = 0.92944, acc = 0.75903
[ Train | 064/200 ] loss = 0.23445, acc = 0.91887 || [ Valid | 064/200 ] loss = 0.93133, acc = 0.77050 -> best
[ Train | 065/200 ] loss = 0.24345, acc = 0.91353 || [ Valid | 065/200 ] loss = 0.93800, acc = 0.77475 -> best
[ Train | 066/200 ] loss = 0.22830, acc = 0.92361 || [ Valid | 066/200 ] loss = 0.98554, acc = 0.77106
[ Train | 067/200 ] loss = 0.23758, acc = 0.91760 || [ Valid | 067/200 ] loss = 0.97353, acc = 0.76200
[ Train | 068/200 ] loss = 0.23098, acc = 0.92129 || [ Valid | 068/200 ] loss = 1.25914, acc = 0.71167
[ Train | 069/200 ] loss = 0.20725, acc = 0.93075 || [ Valid | 069/200 ] loss = 0.88985, acc = 0.78197 -> best
[ Train | 070/200 ] loss = 0.21267, acc = 0.92742 || [ Valid | 070/200 ] loss = 1.02211, acc = 0.76625
[ Train | 071/200 ] loss = 0.20795, acc = 0.92990 || [ Valid | 071/200 ] loss = 1.14693, acc = 0.74598
[ Train | 072/200 ] loss = 0.21704, acc = 0.92607 || [ Valid | 072/200 ] loss = 1.03328, acc = 0.76237
[ Train | 073/200 ] loss = 0.19562, acc = 0.93365 || [ Valid | 073/200 ] loss = 1.02403, acc = 0.75247
[ Train | 074/200 ] loss = 0.19831, acc = 0.93050 || [ Valid | 074/200 ] loss = 0.95405, acc = 0.76719
[ Train | 075/200 ] loss = 0.18322, acc = 0.93813 || [ Valid | 075/200 ] loss = 0.90091, acc = 0.78256 -> best
[ Train | 076/200 ] loss = 0.20208, acc = 0.93171 || [ Valid | 076/200 ] loss = 1.06101, acc = 0.75352
[ Train | 077/200 ] loss = 0.19202, acc = 0.93353 || [ Valid | 077/200 ] loss = 1.02021, acc = 0.76316
[ Train | 078/200 ] loss = 0.18309, acc = 0.93911 || [ Valid | 078/200 ] loss = 0.95080, acc = 0.78920 -> best
[ Train | 079/200 ] loss = 0.19535, acc = 0.93214 || [ Valid | 079/200 ] loss = 1.09096, acc = 0.75382
[ Train | 080/200 ] loss = 0.19252, acc = 0.93454 || [ Valid | 080/200 ] loss = 0.95615, acc = 0.77330
[ Train | 081/200 ] loss = 0.18348, acc = 0.93861 || [ Valid | 081/200 ] loss = 1.28633, acc = 0.73473
[ Train | 082/200 ] loss = 0.17549, acc = 0.93925 || [ Valid | 082/200 ] loss = 1.00224, acc = 0.77222
[ Train | 083/200 ] loss = 0.18185, acc = 0.93716 || [ Valid | 083/200 ] loss = 1.06995, acc = 0.76057
[ Train | 084/200 ] loss = 0.17460, acc = 0.93800 || [ Valid | 084/200 ] loss = 1.15634, acc = 0.73412
[ Train | 085/200 ] loss = 0.16584, acc = 0.94433 || [ Valid | 085/200 ] loss = 1.05496, acc = 0.75883
[ Train | 086/200 ] loss = 0.17991, acc = 0.93996 || [ Valid | 086/200 ] loss = 1.06270, acc = 0.75592
[ Train | 087/200 ] loss = 0.17943, acc = 0.93984 || [ Valid | 087/200 ] loss = 1.14863, acc = 0.75931
[ Train | 088/200 ] loss = 0.16228, acc = 0.94290 || [ Valid | 088/200 ] loss = 1.05033, acc = 0.77351
[ Train | 089/200 ] loss = 0.18399, acc = 0.93756 || [ Valid | 089/200 ] loss = 0.94726, acc = 0.77359
