training start: 2022-03-21 15:15:22.539925
[ Train | 001/100 ] loss = 2.97471, acc = 0.18158 || [ Valid | 001/100 ] loss = 2.10599, acc = 0.26052 -> best
[ Train | 002/100 ] loss = 2.09023, acc = 0.25690 || [ Valid | 002/100 ] loss = 1.91699, acc = 0.31751 -> best
[ Train | 003/100 ] loss = 1.96183, acc = 0.30602 || [ Valid | 003/100 ] loss = 1.76480, acc = 0.37752 -> best
[ Train | 004/100 ] loss = 1.83405, acc = 0.35541 || [ Valid | 004/100 ] loss = 1.64585, acc = 0.41205 -> best
[ Train | 005/100 ] loss = 1.73727, acc = 0.39489 || [ Valid | 005/100 ] loss = 1.64220, acc = 0.42203 -> best
[ Train | 006/100 ] loss = 1.64518, acc = 0.42822 || [ Valid | 006/100 ] loss = 1.61994, acc = 0.44969 -> best
[ Train | 007/100 ] loss = 1.55299, acc = 0.46263 || [ Valid | 007/100 ] loss = 1.52901, acc = 0.48849 -> best
[ Train | 008/100 ] loss = 1.47052, acc = 0.49772 || [ Valid | 008/100 ] loss = 1.37836, acc = 0.51553 -> best
[ Train | 009/100 ] loss = 1.40713, acc = 0.51799 || [ Valid | 009/100 ] loss = 1.30581, acc = 0.55114 -> best
[ Train | 010/100 ] loss = 1.33568, acc = 0.53936 || [ Valid | 010/100 ] loss = 1.26573, acc = 0.57499 -> best
[ Train | 011/100 ] loss = 1.26649, acc = 0.57254 || [ Valid | 011/100 ] loss = 1.19156, acc = 0.59936 -> best
[ Train | 012/100 ] loss = 1.23152, acc = 0.57826 || [ Valid | 012/100 ] loss = 1.10421, acc = 0.63178 -> best
[ Train | 013/100 ] loss = 1.18089, acc = 0.60201 || [ Valid | 013/100 ] loss = 1.09089, acc = 0.62713
[ Train | 014/100 ] loss = 1.12083, acc = 0.61988 || [ Valid | 014/100 ] loss = 1.17231, acc = 0.60698
[ Train | 015/100 ] loss = 1.08682, acc = 0.63235 || [ Valid | 015/100 ] loss = 1.03763, acc = 0.65527 -> best
[ Train | 016/100 ] loss = 1.04749, acc = 0.64179 || [ Valid | 016/100 ] loss = 1.03725, acc = 0.65236
[ Train | 017/100 ] loss = 0.99593, acc = 0.66274 || [ Valid | 017/100 ] loss = 0.95224, acc = 0.68082 -> best
[ Train | 018/100 ] loss = 0.95922, acc = 0.67641 || [ Valid | 018/100 ] loss = 0.99321, acc = 0.67463
[ Train | 019/100 ] loss = 0.93900, acc = 0.68060 || [ Valid | 019/100 ] loss = 0.87178, acc = 0.70990 -> best
