[ Train | 001/200 ] loss = 2.21750, acc = 0.28738 || [ Valid | 001/200 ] loss = 1.95446, acc = 0.33474 -> best
[ Train | 002/200 ] loss = 1.80577, acc = 0.37234 || [ Valid | 002/200 ] loss = 1.72162, acc = 0.39600 -> best
[ Train | 003/200 ] loss = 1.66699, acc = 0.41837 || [ Valid | 003/200 ] loss = 1.58260, acc = 0.46178 -> best
[ Train | 004/200 ] loss = 1.55572, acc = 0.46413 || [ Valid | 004/200 ] loss = 1.62083, acc = 0.46425 -> best
[ Train | 005/200 ] loss = 1.45268, acc = 0.50342 || [ Valid | 005/200 ] loss = 1.47753, acc = 0.51187 -> best
[ Train | 006/200 ] loss = 1.38150, acc = 0.53035 || [ Valid | 006/200 ] loss = 1.36024, acc = 0.53730 -> best
[ Train | 007/200 ] loss = 1.28536, acc = 0.56254 || [ Valid | 007/200 ] loss = 1.44401, acc = 0.51901
[ Train | 008/200 ] loss = 1.22565, acc = 0.57815 || [ Valid | 008/200 ] loss = 1.34070, acc = 0.54814 -> best
[ Train | 009/200 ] loss = 1.18010, acc = 0.59997 || [ Valid | 009/200 ] loss = 1.33272, acc = 0.55143 -> best
[ Train | 010/200 ] loss = 1.10698, acc = 0.62132 || [ Valid | 010/200 ] loss = 1.32764, acc = 0.57208 -> best
[ Train | 011/200 ] loss = 1.07661, acc = 0.63158 || [ Valid | 011/200 ] loss = 1.40477, acc = 0.53816
[ Train | 012/200 ] loss = 1.05029, acc = 0.64188 || [ Valid | 012/200 ] loss = 1.09395, acc = 0.63984 -> best
[ Train | 013/200 ] loss = 0.99519, acc = 0.65806 || [ Valid | 013/200 ] loss = 1.09415, acc = 0.62714
[ Train | 014/200 ] loss = 0.96666, acc = 0.67108 || [ Valid | 014/200 ] loss = 1.02244, acc = 0.64616 -> best
[ Train | 015/200 ] loss = 0.91589, acc = 0.68415 || [ Valid | 015/200 ] loss = 1.12905, acc = 0.63439
[ Train | 016/200 ] loss = 0.89057, acc = 0.69726 || [ Valid | 016/200 ] loss = 1.06590, acc = 0.63811
[ Train | 017/200 ] loss = 0.87257, acc = 0.70035 || [ Valid | 017/200 ] loss = 1.18669, acc = 0.62329
[ Train | 018/200 ] loss = 0.84042, acc = 0.71150 || [ Valid | 018/200 ] loss = 1.25923, acc = 0.59452
[ Train | 019/200 ] loss = 0.81286, acc = 0.72179 || [ Valid | 019/200 ] loss = 0.94988, acc = 0.68405 -> best
[ Train | 020/200 ] loss = 0.78659, acc = 0.73047 || [ Valid | 020/200 ] loss = 0.99413, acc = 0.67288
[ Train | 021/200 ] loss = 0.76677, acc = 0.73458 || [ Valid | 021/200 ] loss = 0.89457, acc = 0.70023 -> best
[ Train | 022/200 ] loss = 0.75518, acc = 0.74218 || [ Valid | 022/200 ] loss = 1.14056, acc = 0.65224
[ Train | 023/200 ] loss = 0.72538, acc = 0.74968 || [ Valid | 023/200 ] loss = 0.96617, acc = 0.69106
[ Train | 024/200 ] loss = 0.71103, acc = 0.75497 || [ Valid | 024/200 ] loss = 1.13678, acc = 0.64864
[ Train | 025/200 ] loss = 0.69510, acc = 0.76527 || [ Valid | 025/200 ] loss = 0.96565, acc = 0.68734
[ Train | 026/200 ] loss = 0.67499, acc = 0.77100 || [ Valid | 026/200 ] loss = 0.89988, acc = 0.70190 -> best
[ Train | 027/200 ] loss = 0.64949, acc = 0.77166 || [ Valid | 027/200 ] loss = 0.93822, acc = 0.70872 -> best
[ Train | 028/200 ] loss = 0.64892, acc = 0.78052 || [ Valid | 028/200 ] loss = 0.92930, acc = 0.70915 -> best
[ Train | 029/200 ] loss = 0.62025, acc = 0.78634 || [ Valid | 029/200 ] loss = 0.87931, acc = 0.72206 -> best
[ Train | 030/200 ] loss = 0.60552, acc = 0.79614 || [ Valid | 030/200 ] loss = 0.90360, acc = 0.71287
[ Train | 031/200 ] loss = 0.58981, acc = 0.79456 || [ Valid | 031/200 ] loss = 0.95603, acc = 0.69229
[ Train | 032/200 ] loss = 0.57163, acc = 0.80345 || [ Valid | 032/200 ] loss = 0.81688, acc = 0.73842 -> best
[ Train | 033/200 ] loss = 0.56441, acc = 0.80746 || [ Valid | 033/200 ] loss = 0.88429, acc = 0.73216
[ Train | 034/200 ] loss = 0.55019, acc = 0.81375 || [ Valid | 034/200 ] loss = 0.90116, acc = 0.72403
[ Train | 035/200 ] loss = 0.54149, acc = 0.81383 || [ Valid | 035/200 ] loss = 0.92340, acc = 0.73482
[ Train | 036/200 ] loss = 0.52329, acc = 0.82130 || [ Valid | 036/200 ] loss = 0.89481, acc = 0.72131
[ Train | 037/200 ] loss = 0.50969, acc = 0.82571 || [ Valid | 037/200 ] loss = 0.89375, acc = 0.72577
[ Train | 038/200 ] loss = 0.51654, acc = 0.81909 || [ Valid | 038/200 ] loss = 0.86898, acc = 0.72956
[ Train | 039/200 ] loss = 0.48062, acc = 0.83479 || [ Valid | 039/200 ] loss = 0.86206, acc = 0.73545
[ Train | 040/200 ] loss = 0.48140, acc = 0.83254 || [ Valid | 040/200 ] loss = 0.91762, acc = 0.72651
[ Train | 041/200 ] loss = 0.45094, acc = 0.84782 || [ Valid | 041/200 ] loss = 0.79718, acc = 0.76074 -> best
[ Train | 042/200 ] loss = 0.45580, acc = 0.84152 || [ Valid | 042/200 ] loss = 0.94658, acc = 0.72466
[ Train | 043/200 ] loss = 0.43658, acc = 0.85040 || [ Valid | 043/200 ] loss = 0.81723, acc = 0.75057
[ Train | 044/200 ] loss = 0.42519, acc = 0.85593 || [ Valid | 044/200 ] loss = 0.80614, acc = 0.75367
[ Train | 045/200 ] loss = 0.42584, acc = 0.85254 || [ Valid | 045/200 ] loss = 1.00020, acc = 0.70978
[ Train | 046/200 ] loss = 0.41691, acc = 0.85583 || [ Valid | 046/200 ] loss = 0.79909, acc = 0.76415 -> best
[ Train | 047/200 ] loss = 0.40796, acc = 0.85753 || [ Valid | 047/200 ] loss = 1.02001, acc = 0.72062
[ Train | 048/200 ] loss = 0.38718, acc = 0.86659 || [ Valid | 048/200 ] loss = 0.88672, acc = 0.75145
[ Train | 049/200 ] loss = 0.38402, acc = 0.86896 || [ Valid | 049/200 ] loss = 1.01545, acc = 0.72943
[ Train | 050/200 ] loss = 0.36584, acc = 0.87381 || [ Valid | 050/200 ] loss = 0.78816, acc = 0.76130
[ Train | 051/200 ] loss = 0.38159, acc = 0.86820 || [ Valid | 051/200 ] loss = 0.87954, acc = 0.74853
[ Train | 052/200 ] loss = 0.35802, acc = 0.87838 || [ Valid | 052/200 ] loss = 0.76787, acc = 0.76612 -> best
