training start: 2022-03-20 12:42:44.359575[ Train | 001/200 ] loss = 2.22564, acc = 0.29730 || [ Valid | 001/200 ] loss = 1.85407, acc = 0.36362 -> best
[ Train | 002/200 ] loss = 1.79695, acc = 0.37946 || [ Valid | 002/200 ] loss = 1.65347, acc = 0.42526 -> best
[ Train | 003/200 ] loss = 1.65321, acc = 0.42960 || [ Valid | 003/200 ] loss = 1.76491, acc = 0.41652
[ Train | 004/200 ] loss = 1.54364, acc = 0.47266 || [ Valid | 004/200 ] loss = 1.61845, acc = 0.43517 -> best
[ Train | 005/200 ] loss = 1.43592, acc = 0.50783 || [ Valid | 005/200 ] loss = 1.44665, acc = 0.49990 -> best
[ Train | 006/200 ] loss = 1.34303, acc = 0.53787 || [ Valid | 006/200 ] loss = 1.54062, acc = 0.47455
[ Train | 007/200 ] loss = 1.27888, acc = 0.56272 || [ Valid | 007/200 ] loss = 1.29443, acc = 0.54505 -> best
[ Train | 008/200 ] loss = 1.19753, acc = 0.59668 || [ Valid | 008/200 ] loss = 1.32362, acc = 0.54995 -> best
[ Train | 009/200 ] loss = 1.16681, acc = 0.60239 || [ Valid | 009/200 ] loss = 1.18213, acc = 0.58714 -> best
[ Train | 010/200 ] loss = 1.08573, acc = 0.63086 || [ Valid | 010/200 ] loss = 1.12808, acc = 0.61188 -> best
[ Train | 011/200 ] loss = 1.06005, acc = 0.63459 || [ Valid | 011/200 ] loss = 1.15953, acc = 0.60184
[ Train | 012/200 ] loss = 1.01318, acc = 0.65453 || [ Valid | 012/200 ] loss = 1.28947, acc = 0.59142
[ Train | 013/200 ] loss = 0.97496, acc = 0.66394 || [ Valid | 013/200 ] loss = 1.07156, acc = 0.62192 -> best
[ Train | 014/200 ] loss = 0.94764, acc = 0.67540 || [ Valid | 014/200 ] loss = 1.04018, acc = 0.65124 -> best
[ Train | 015/200 ] loss = 0.92679, acc = 0.68285 || [ Valid | 015/200 ] loss = 1.08379, acc = 0.63110
[ Train | 016/200 ] loss = 0.88845, acc = 0.70174 || [ Valid | 016/200 ] loss = 0.97210, acc = 0.66532 -> best
[ Train | 017/200 ] loss = 0.85900, acc = 0.70698 || [ Valid | 017/200 ] loss = 1.05474, acc = 0.65379
[ Train | 018/200 ] loss = 0.84065, acc = 0.70870 || [ Valid | 018/200 ] loss = 0.85856, acc = 0.70599 -> best
[ Train | 019/200 ] loss = 0.81766, acc = 0.71928 || [ Valid | 019/200 ] loss = 0.93443, acc = 0.68864
