[ Train | 001/200 ] loss = 2.27135, acc = 0.27581 || [ Valid | 001/200 ] loss = 2.00295, acc = 0.32835 -> best
[ Train | 002/200 ] loss = 1.81521, acc = 0.37083 || [ Valid | 002/200 ] loss = 1.95743, acc = 0.33542 -> best
[ Train | 003/200 ] loss = 1.67461, acc = 0.41734 || [ Valid | 003/200 ] loss = 1.65318, acc = 0.43092 -> best
[ Train | 004/200 ] loss = 1.57353, acc = 0.45796 || [ Valid | 004/200 ] loss = 1.59763, acc = 0.43739 -> best
[ Train | 005/200 ] loss = 1.46893, acc = 0.49046 || [ Valid | 005/200 ] loss = 1.56496, acc = 0.49730 -> best
[ Train | 006/200 ] loss = 1.38649, acc = 0.52806 || [ Valid | 006/200 ] loss = 1.79449, acc = 0.41490
[ Train | 007/200 ] loss = 1.30728, acc = 0.54917 || [ Valid | 007/200 ] loss = 1.47340, acc = 0.52016 -> best
[ Train | 008/200 ] loss = 1.25269, acc = 0.56321 || [ Valid | 008/200 ] loss = 1.54325, acc = 0.47752
[ Train | 009/200 ] loss = 1.17331, acc = 0.59792 || [ Valid | 009/200 ] loss = 1.30758, acc = 0.56328 -> best
[ Train | 010/200 ] loss = 1.14488, acc = 0.60619 || [ Valid | 010/200 ] loss = 1.28818, acc = 0.57659 -> best
[ Train | 011/200 ] loss = 1.08924, acc = 0.62831 || [ Valid | 011/200 ] loss = 1.38691, acc = 0.54563
[ Train | 012/200 ] loss = 1.05180, acc = 0.64052 || [ Valid | 012/200 ] loss = 1.48249, acc = 0.53976
[ Train | 013/200 ] loss = 1.01556, acc = 0.65361 || [ Valid | 013/200 ] loss = 1.12206, acc = 0.62686 -> best
[ Train | 014/200 ] loss = 0.97350, acc = 0.66540 || [ Valid | 014/200 ] loss = 1.42509, acc = 0.57368
[ Train | 015/200 ] loss = 0.93446, acc = 0.67329 || [ Valid | 015/200 ] loss = 1.09650, acc = 0.64190 -> best
[ Train | 016/200 ] loss = 0.90940, acc = 0.68992 || [ Valid | 016/200 ] loss = 1.19738, acc = 0.61643
[ Train | 017/200 ] loss = 0.89401, acc = 0.69667 || [ Valid | 017/200 ] loss = 1.02239, acc = 0.65984 -> best
[ Train | 018/200 ] loss = 0.87446, acc = 0.69718 || [ Valid | 018/200 ] loss = 1.14939, acc = 0.62541
[ Train | 019/200 ] loss = 0.83534, acc = 0.70929 || [ Valid | 019/200 ] loss = 1.05697, acc = 0.65773
[ Train | 020/200 ] loss = 0.81761, acc = 0.72153 || [ Valid | 020/200 ] loss = 0.87354, acc = 0.71858 -> best
[ Train | 021/200 ] loss = 0.78695, acc = 0.72933 || [ Valid | 021/200 ] loss = 1.01190, acc = 0.67353
[ Train | 022/200 ] loss = 0.76434, acc = 0.74282 || [ Valid | 022/200 ] loss = 1.10863, acc = 0.65249
[ Train | 023/200 ] loss = 0.74791, acc = 0.74452 || [ Valid | 023/200 ] loss = 0.88433, acc = 0.72836 -> best
[ Train | 024/200 ] loss = 0.72497, acc = 0.75232 || [ Valid | 024/200 ] loss = 1.16909, acc = 0.62666
[ Train | 025/200 ] loss = 0.70695, acc = 0.75306 || [ Valid | 025/200 ] loss = 0.98724, acc = 0.69621
[ Train | 026/200 ] loss = 0.68121, acc = 0.76671 || [ Valid | 026/200 ] loss = 0.90305, acc = 0.71977
[ Train | 027/200 ] loss = 0.68567, acc = 0.76319 || [ Valid | 027/200 ] loss = 0.88754, acc = 0.71407
[ Train | 028/200 ] loss = 0.67424, acc = 0.77272 || [ Valid | 028/200 ] loss = 0.97345, acc = 0.68793
[ Train | 029/200 ] loss = 0.63665, acc = 0.78222 || [ Valid | 029/200 ] loss = 1.11560, acc = 0.65977
[ Train | 030/200 ] loss = 0.62239, acc = 0.78875 || [ Valid | 030/200 ] loss = 1.06049, acc = 0.66776
[ Train | 031/200 ] loss = 0.59479, acc = 0.79536 || [ Valid | 031/200 ] loss = 0.91354, acc = 0.72798
[ Train | 032/200 ] loss = 0.59995, acc = 0.79905 || [ Valid | 032/200 ] loss = 1.18757, acc = 0.64934
[ Train | 033/200 ] loss = 0.57574, acc = 0.80315 || [ Valid | 033/200 ] loss = 0.85297, acc = 0.73259 -> best
[ Train | 034/200 ] loss = 0.56045, acc = 0.80288 || [ Valid | 034/200 ] loss = 0.93002, acc = 0.71776
