[ Train | 001/100 ] loss = 2.07228, acc = 0.26331 || [ Valid | 001/100 ] loss = 2.02627, acc = 0.28880 -> best
[ Train | 002/100 ] loss = 1.85854, acc = 0.34306 || [ Valid | 002/100 ] loss = 1.81439, acc = 0.35915 -> best
[ Train | 003/100 ] loss = 1.70844, acc = 0.40252 || [ Valid | 003/100 ] loss = 1.63339, acc = 0.42043 -> best
[ Train | 004/100 ] loss = 1.59032, acc = 0.44815 || [ Valid | 004/100 ] loss = 1.52123, acc = 0.47673 -> best
[ Train | 005/100 ] loss = 1.46664, acc = 0.48942 || [ Valid | 005/100 ] loss = 1.46018, acc = 0.49953 -> best
[ Train | 006/100 ] loss = 1.39679, acc = 0.51220 || [ Valid | 006/100 ] loss = 1.32912, acc = 0.54206 -> best
[ Train | 007/100 ] loss = 1.30312, acc = 0.54677 || [ Valid | 007/100 ] loss = 1.45001, acc = 0.51678
[ Train | 008/100 ] loss = 1.22873, acc = 0.56653 || [ Valid | 008/100 ] loss = 1.48790, acc = 0.51139
[ Train | 009/100 ] loss = 1.19696, acc = 0.58502 || [ Valid | 009/100 ] loss = 1.40456, acc = 0.53618
[ Train | 010/100 ] loss = 1.13771, acc = 0.60585 || [ Valid | 010/100 ] loss = 1.49939, acc = 0.52586
[ Train | 011/100 ] loss = 1.10093, acc = 0.61744 || [ Valid | 011/100 ] loss = 1.27064, acc = 0.57100 -> best
[ Train | 012/100 ] loss = 1.03871, acc = 0.63802 || [ Valid | 012/100 ] loss = 1.32984, acc = 0.56626
[ Train | 013/100 ] loss = 1.00478, acc = 0.65718 || [ Valid | 013/100 ] loss = 1.25664, acc = 0.59823 -> best
[ Train | 014/100 ] loss = 0.97772, acc = 0.66198 || [ Valid | 014/100 ] loss = 1.15313, acc = 0.62320 -> best
[ Train | 015/100 ] loss = 0.95583, acc = 0.66790 || [ Valid | 015/100 ] loss = 1.65412, acc = 0.50369
[ Train | 016/100 ] loss = 0.90464, acc = 0.69028 || [ Valid | 016/100 ] loss = 1.18211, acc = 0.62716 -> best
[ Train | 017/100 ] loss = 0.87613, acc = 0.69770 || [ Valid | 017/100 ] loss = 1.21796, acc = 0.62744 -> best
[ Train | 018/100 ] loss = 0.84787, acc = 0.70093 || [ Valid | 018/100 ] loss = 1.00030, acc = 0.67655 -> best
[ Train | 019/100 ] loss = 0.82982, acc = 0.70984 || [ Valid | 019/100 ] loss = 1.22303, acc = 0.62011
[ Train | 020/100 ] loss = 0.81050, acc = 0.71907 || [ Valid | 020/100 ] loss = 1.44010, acc = 0.58726
[ Train | 021/100 ] loss = 0.77646, acc = 0.72875 || [ Valid | 021/100 ] loss = 1.02948, acc = 0.66744
[ Train | 022/100 ] loss = 0.75216, acc = 0.73641 || [ Valid | 022/100 ] loss = 1.05977, acc = 0.66322
[ Train | 023/100 ] loss = 0.72209, acc = 0.74673 || [ Valid | 023/100 ] loss = 1.06133, acc = 0.66997
[ Train | 024/100 ] loss = 0.69179, acc = 0.76004 || [ Valid | 024/100 ] loss = 1.07665, acc = 0.66831
